name,email,password
Ali Khan,ali.khan@teacher.edu,teach01!
Sana Ahmed,sana.ahmed@teacher.edu,teach02!
Usman Raza,usman.raza@teacher.edu,teach03!
Ayesha Malik,ayesha.malik@teacher.edu,teach04!
Fahad Qureshi,fahad.qureshi@teacher.edu,teach05!

Abyan Ansari,abyan.ansari@student.edu,stud01!
Haris Khan,haris.khan@student.edu,stud02!
Amjad Raza,amjad.raza@student.edu,stud03!
Jamshed Malik,jamshed.malik@student.edu,stud04!
Dawood Qureshi,dawood.qureshi@student.edu,stud05!
Rehan Ahmed,rehan.ahmed@student.edu,stud06!
Sameer Ali,sameer.ali@student.edu,stud07!
Faizan Siddiqui,faizan.siddiqui@student.edu,stud08!
Zayan Farooq,zayan.farooq@student.edu,stud09!
Talha Iqbal,talha.iqbal@student.edu,stud10!

Sara Khan,sara.khan@admin.edu,admin01!

David Malan,david.malan@student.edu,password123
